"Fact","Fact Note","Carpinteria city, California","Value Note for Carpinteria city, California","Camarillo city, California","Value Note for Camarillo city, California","Thousand Oaks city, California","Value Note for Thousand Oaks city, California","Bonita CDP, California","Value Note for Bonita CDP, California","Hesperia city, California","Value Note for Hesperia city, California","Chino Hills city, California","Value Note for Chino Hills city, California"
"Population Estimates, July 1 2021, (V2021)","","NA","","NA","","NA","","X","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","NA","","NA","","NA","","X","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","NA","","NA","","NA","","X","","NA","","NA",""
"Population, Census, April 1, 2020","","13,264","","70,741","","126,966","","12,917","","99,818","","78,411",""
"Population, Census, April 1, 2010","","13,040","","65,201","","126,683","","12,538","","90,173","","74,799",""
"Persons under 5 years, percent","","6.4%","","6.1%","","5.4%","","4.0%","","7.0%","","6.4%",""
"Persons under 18 years, percent","","22.0%","","21.1%","","21.0%","","16.6%","","29.4%","","22.8%",""
"Persons 65 years and over, percent","","19.4%","","19.7%","","19.6%","","23.2%","","11.0%","","12.1%",""
"Female persons, percent","","50.4%","","51.7%","","51.2%","","51.8%","","49.8%","","50.6%",""
"White alone, percent","","71.5%","","74.6%","","80.3%","","65.9%","","76.4%","","43.3%",""
"Black or African American alone, percent","(a)","0.9%","","2.4%","","1.5%","","2.4%","","4.1%","","3.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%","","0.6%","","0.3%","","0.2%","","0.8%","","0.7%",""
"Asian alone, percent","(a)","2.0%","","8.9%","","9.7%","","11.6%","","2.6%","","37.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%","","0.2%","","0.2%","","0.4%","","0.2%","","0.0%",""
"Two or More Races, percent","","7.0%","","9.8%","","5.9%","","14.0%","","6.4%","","7.3%",""
"Hispanic or Latino, percent","(b)","45.6%","","29.1%","","17.8%","","45.4%","","59.1%","","27.5%",""
"White alone, not Hispanic or Latino, percent","","48.6%","","56.0%","","67.7%","","37.3%","","32.3%","","28.6%",""
"Veterans, 2016-2020","","672","","4,526","","5,936","","1,007","","4,030","","2,837",""
"Foreign born persons, percent, 2016-2020","","23.1%","","14.5%","","17.3%","","19.3%","","17.9%","","29.9%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","X","","X","","X","","X","","X",""
"Owner-occupied housing unit rate, 2016-2020","","54.1%","","63.8%","","69.4%","","78.0%","","62.2%","","73.0%",""
"Median value of owner-occupied housing units, 2016-2020","","$711,100","","$619,100","","$751,900","","$694,200","","$255,500","","$642,500",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$2,839","","$2,589","","$2,984","","$2,821","","$1,508","","$2,619",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$692","","$655","","$732","","$702","","$424","","$760",""
"Median gross rent, 2016-2020","","$2,029","","$2,161","","$2,207","","$1,829","","$1,217","","$2,226",""
"Building permits, 2020","","X","","X","","X","","X","","X","","X",""
"Households, 2016-2020","","5,063","","24,429","","46,341","","4,304","","27,207","","25,874",""
"Persons per household, 2016-2020","","2.65","","2.76","","2.71","","2.87","","3.49","","3.20",""
